index,sku,style_id,catalog,category,weight,tp,mrp_old,final_mrp_old,ajio_mrp,amazon_mrp,amazon_fba_mrp,flipkart_mrp,limeroad_mrp,myntra_mrp,paytm_mrp,snapdeal_mrp
0,OS206_3141_S,Os206_3141,Moments,Kurta,0.3,538,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0
1,OS206_3141_M,Os206_3141,Moments,Kurta,0.3,538,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0
2,OS206_3141_L,Os206_3141,Moments,Kurta,0.3,538,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0
3,OS206_3141_XL,Os206_3141,Moments,Kurta,0.3,538,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0
4,OS206_3141_2XL,Os206_3141,Moments,Kurta,0.3,538,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0
5,OS206_3141_3XL,Os206_3141,Moments,Kurta,0.3,538,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0
6,OS223_3142_S,Os223_3142,Moments,Kurta,0.3,538,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0
7,OS223_3142_M,Os223_3142,Moments,Kurta,0.3,538,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0
8,OS223_3142_L,Os223_3142,Moments,Kurta,0.3,538,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0
9,OS223_3142_XL,Os223_3142,Moments,Kurta,0.3,538,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0
10,OS223_3142_2XL,Os223_3142,Moments,Kurta,0.3,538,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0
11,OS223_3142_3XL,Os223_3142,Moments,Kurta,0.3,538,2178.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0,2295.0
