state,total_orders,total_revenue,avg_order_value,revenue_share_pct
Maharashtra,20780,13335534.14,599.08,16.97
Karnataka,16182,10481114.37,604.94,13.34
Telangana,10405,6916615.65,610.47,8.8
Uttar Pradesh,10062,6816642.08,640.78,8.67
Tamil Nadu,10519,6515650.11,567.42,8.29
Delhi,6533,4346412.46,623.86,5.53
Kerala,6105,3830227.58,581.66,4.87
West Bengal,5653,3507880.44,588.27,4.46
Andhra Pradesh,4979,3219831.72,592.97,4.1
Haryana,4142,2882092.99,652.8,3.67
Gujarat,4169,2728651.82,607.85,3.47
Rajasthan,2506,1758001.16,648.47,2.24
Madhya Pradesh,2375,1592382.98,629.65,2.03
Bihar,2017,1415613.32,669.64,1.8
Odisha,2021,1384635.39,648.24,1.76
Punjab,1807,1210699.84,631.56,1.54
Assam,1601,1018136.2,612.23,1.3
Uttarakhand,1480,974143.55,627.27,1.24
Jharkhand,1382,919088.21,631.24,1.17
Goa,1081,637685.85,560.85,0.81
Chhattisgarh,873,570485.83,627.6,0.73
Himachal Pradesh,750,503364.51,638.79,0.64
Jammu & Kashmir,670,456932.74,650.9,0.58
Manipur,287,213981.99,677.16,0.27
Chandigarh,315,211740.67,635.86,0.27
Puducherry,309,192044.24,548.7,0.24
Andaman & Nicobar,242,158723.62,617.6,0.2
Nagaland,168,144094.67,778.89,0.18
Sikkim,197,140828.66,686.97,0.18
Meghalaya,194,119871.81,579.09,0.15
Arunachal Pradesh,133,97772.0,669.67,0.12
Tripura,143,92548.4,612.9,0.12
New Delhi,76,47109.95,581.6,0.06
Dadra And Nagar,60,42138.92,601.98,0.05
Mizoram,72,41948.71,551.96,0.05
Ladakh,42,38388.43,892.75,0.05
Unknown,28,18671.0,565.79,0.02
Lakshadweep,4,3175.29,793.82,0.0
Orissa,3,1737.0,579.0,0.0
Rajshthan,2,1126.0,375.33,0.0
Rj,2,1040.0,520.0,0.0
Rajsthan,2,964.0,482.0,0.0
Nl,2,961.0,480.5,0.0
Punjab/Mohali/Zirakpur,1,568.0,568.0,0.0
Pondicherry,1,529.0,529.0,0.0
Ar,1,493.0,493.0,0.0
Pb,1,399.0,399.0,0.0
Apo,1,0.0,0.0,0.0
